num_errors,error_type,dob_error_flag,dob_error_msg
3,"['Nombre', 'Apellidos', 'Título']",False,
2,"['Vorname(n)', 'Nachname']",False,
6,"['Nome', 'Cognome', 'Città', 'CAP', 'Via e numero civico', 'Paese']",False,
1,['Geboortedatum'],True,De geboortedatum is niet geldig voor het type passagier dat je hebt geselecteerd.
4,"['Last name', 'Document number', 'Document type', 'First name(s)']",False,
1,['Nome'],False,
1,['Achternaam'],False,
1,['Steuernummer / Sozialversicherungsnummer'],False,
3,"['Nachname', 'Geburtsdatum', 'Anrede']",False,
3,"['Date de naissance', 'Prénom', 'Nom']",False,
4,"['Nachname', 'Geburtsdatum', 'Vorname(n)', 'Anrede']",False,
1,['Nombre'],False,
3,"['Nome', 'Sobrenome', 'Data de nascimento']",True,Insira uma data de nascimento válida.
1,['Vorname(n)'],False,
3,"['Città', 'CAP', 'Nome dell’azienda']",False,
2,"['Last name', 'First name(s)']",False,
4,"['Prénom', 'Nom', 'Numéro de document', 'Type de document']",False,
3,"['Voorna(a)m(en', 'Achternaam', 'Titel']",False,
4,"['Prénom', 'Nom', 'Date de naissance', 'Civilité']",False,
2,"['Numéro de document', 'Type de document']",False,
2,"['Nom', 'Civilité']",False,
4,"['Apellidos', 'Fecha de nacimiento', 'Número de documento', 'Tipo de documento']",False,
1,['Data de nascimento'],True,Sua data de nascimento não é válida para o tipo de passageiro selecionado.
4,"['Ville', 'Code postal', 'Nom de l’entreprise', 'Numéro de TVA']",False,
5,"['Prénom', 'Nom', 'Date de naissance', 'Numéro de document', 'Type de document']",False,
1,['Voorna(a)m(en'],False,
5,"['Apellidos', 'Fecha de nacimiento', 'Número de documento', 'Tipo de documento', 'Nombre']",False,
3,"['Date of birth', 'First name(s)', 'Last name']",False,
1,['Geschlecht'],False,
2,"['Nombre', 'Apellidos']",False,
2,"['Sobrenome', 'Nome']",False,
1,['Geburtsdatum'],True,Darf nicht vor 1900 bzw. nach dem heutigen Datum liegen.
1,['Sobrenome'],False,
1,['Gender'],False,
1,['Dokumentnummer'],False,
1,['Geboortedatum'],True,Voer een geldige geboortedatum in.
2,"['Prénom', 'Date de naissance']",True,Une date de naissance valide doit être renseignée.
2,"['Achternaam', 'Geboortedatum']",True,Voer een geldige geboortedatum in.
7,"['Fiscal number / Social security number', 'First name', 'Surname', 'City', 'Postal code', 'Street and number', 'Country']",False,
1,['Titel'],False,
3,"['Achternaam', 'Geboortedatum', 'Voorna(a)m(en']",False,
3,"['Nachname', 'Geburtsdatum', 'Geschlecht']",False,
1,['Numéro de TVA'],False,
3,"['Last name', 'Date of birth', 'Gender']",False,
2,"['Cognome', 'Nome']",False,
5,"['Last name', 'Date of birth', 'Document number', 'Document type', 'First name(s)']",False,
1,['Data di nascita'],False,
5,"['Vorname(n)', 'Nachname', 'Geburtsdatum', 'Geschlecht', 'Anrede']",False,
2,"['Dokumentnummer', 'Art des Dokuments']",False,
1,['Vat number'],False,
1,['Título'],False,
3,"['Nom', 'Prénom', 'Civilité']",False,
2,"['Geburtsdatum', 'Anrede']",False,
3,"['Nom', 'Numéro de document', 'Type de document']",False,
2,"['Cognome', 'Titolo']",False,
2,"['Geburtsdatum', 'Anrede']",False,
4,"['Vorname(n)', 'Nachname', 'Dokumentnummer', 'Art des Dokuments']",False,
2,"['Nachname', 'Vorname(n)']",False,
4,"['Last name', 'Date of birth', 'Document number', 'Document type']",False,
7,"['Numéro fiscal / numéro de sécurité sociale', 'Prénom', 'Nom de famille', 'Ville', 'Code postal', 'Rue et numéro', 'Pays']",False,
1,['Fecha de nacimiento'],False,
4,"['Nachname', 'Geburtsdatum', 'Geschlecht', 'Vorname(n)']",False,
4,"['Nome', 'Sobrenome', 'Número do documento', 'Tipo de documento']",False,
1,['Titel'],False,
3,"['Prénom', 'Nom', 'Date de naissance']",True,Une date de naissance valide doit être renseignée.
3,"['CAP', 'Nome dell’azienda', 'Partita IVA']",False,
4,"['Nome', 'Cognome', 'Numero documento', 'Tipo di documento']",False,
1,['Data de nascimento'],True,Insira uma data de nascimento válida.
2,"['Achternaam', 'Voorna(a)m(en']",False,
1,['Numero documento'],False,
4,"['Nome', 'Cognome', 'Data di nascita', 'Genere']",False,
1,['Type de document'],False,
4,"['Voorna(a)m(en', 'Achternaam', 'Documentnummer', 'Documenttype']",False,
3,"['Fornavn(e)', 'Efternavn', 'Titel']",False,
3,"['Apellidos', 'Nombre', 'Título']",False,
2,"['Numero documento', 'Tipo di documento']",False,
2,"['Codice fiscale / Numero di previdenza sociale', 'Provincia']",False,
3,"['Nome', 'Sobrenome', 'Título']",False,
1,['Número do documento'],False,
7,"['Steuernummer / Sozialversicherungsnummer', 'Vorname', 'Nachname', 'Stadt', 'Postleitzahl (PLZ)', 'Straße und Hausnummer', 'Land']",False,
6,"['Codice fiscale / Numero di previdenza sociale', 'Cognome', 'Città', 'CAP', 'Via e numero civico', 'Paese']",False,
2,"['Date of birth', 'Title']",False,
4,"['Stadt', 'Postleitzahl (PLZ)', 'Firmenname', 'Umsatzsteuernummer']",False,
5,"['Nome', 'Sobrenome', 'Data de nascimento', 'Número do documento', 'Tipo de documento']",False,
2,"['Apellidos', 'Título']",False,
2,"['Número do documento', 'Tipo de documento']",False,
1,['Art des Dokuments'],False,
3,"['Prénom', 'Nom', 'Date de naissance']",True,La date de naissance n'est pas valide pour le type de passager sélectionné.
3,"['Data di nascita', 'Nome', 'Cognome']",False,
1,['Partita IVA'],False,
3,"['First name(s)', 'Last name', 'Date of birth']",True,Your date of birth is not valid for the selected passenger type.
2,"['Sobrenome', 'Data de nascimento']",True,Insira uma data de nascimento válida.
3,"['Sobrenome', 'Data de nascimento', 'Nome']",False,
1,['Documentnummer'],False,
2,"['Achternaam', 'Titel']",False,
4,"['Cuidad', 'Código postal', 'Nombre de la empresa', 'Número a efectos de IVA']",False,
4,"['Nome', 'Cognome', 'Data di nascita', 'Titolo']",False,
3,"['Nombre', 'Apellidos', 'Número de documento']",False,
3,"['Last name', 'Date of birth', 'Title']",False,
4,"['Document number', 'First name(s)', 'Last name', 'Document type']",False,
1,['Province'],False,
3,"['Nom', 'Date de naissance', 'Civilité']",False,
2,"['Voorna(a)m(en', 'Achternaam']",False,
3,"['Fecha de nacimiento', 'Número de documento', 'Tipo de documento']",False,
4,"['Document number', 'Document type', 'First name(s)', 'Last name']",False,
5,"['First name(s)', 'Last name', 'Date of birth', 'Gender', 'Title']",False,
4,"['Nom', 'Numéro de document', 'Type de document', 'Prénom']",False,
2,"['Date of birth', 'Title']",False,
3,"['Cognome', 'Nome', 'Titolo']",False,
1,['Last name'],False,
3,"['Date of birth', 'Document number', 'Document type']",False,
2,"['Apellidos', 'Nombre']",False,
2,"['Fornavn(e)', 'Efternavn']",False,
2,"['Documentnummer', 'Documenttype']",False,
4,"['Last name', 'Date of birth', 'Gender', 'First name(s)']",False,
4,"['Nombre', 'Apellidos', 'Fecha de nacimiento', 'Título']",False,
2,"['Geburtsdatum', 'Geschlecht']",False,
1,['Genere'],False,
4,"['Last name', 'Date of birth', 'First name(s)', 'Title']",False,
1,['Nom'],False,
2,"['Date of birth', 'Last name']",False,
5,"['Vorname(n)', 'Nachname', 'Geburtsdatum', 'Dokumentnummer', 'Art des Dokuments']",False,
4,"['Nom', 'Date de naissance', 'Prénom', 'Civilité']",False,
1,['Paese'],False,
2,"['Nom', 'Date de naissance']",True,La date de naissance n'est pas valide pour le type de passager sélectionné.
2,"['Nome dell’azienda', 'Partita IVA']",False,
3,"['Förnamn', 'Efternamn', 'Titel']",False,
4,"['Nom', 'Date de naissance', 'Numéro de document', 'Type de document']",False,
3,"['Codice fiscale / Numero di previdenza sociale', 'Nome', 'Cognome']",False,
3,"['Förnamn', 'Efternamn', 'Födelsedatum']",False,
1,['Umsatzsteuernummer'],False,
2,"['Date de naissance', 'Nom']",False,
2,"['Förnamn', 'Efternamn']",False,
3,"['Prénom', 'Date de naissance', 'Nom']",False,
2,"['Città', 'CAP']",False,
2,"['Date de naissance', 'Civilité']",False,
3,"['Geburtsdatum', 'Vorname(n)', 'Nachname']",False,
3,"['First name(s)', 'Last name', 'Document number']",False,
3,"['Date of birth', 'Last name', 'First name(s)']",False,
4,"['City', 'Postal / ZIP code', 'Company name', 'VAT number']",False,
1,['Postal code'],False,
1,['Documenttype'],False,
2,"['Vorname(n)', 'Anrede']",False,
1,['Número fiscal / número de seguridad social'],False,
4,"['Número de documento', 'Tipo de documento', 'Nombre', 'Apellidos']",False,
3,"['Achternaam', 'Voorna(a)m(en', 'Titel']",False,
1,['Tipo di documento'],False,
1,['First name(s)'],False,
2,"['First name(s)', 'Title']",False,
5,"['Nom', 'Date de naissance', 'Numéro de document', 'Type de document', 'Prénom']",False,
3,"['Nachname', 'Dokumentnummer', 'Art des Dokuments']",False,
4,"['Prénom', 'Nom', 'Date de naissance', 'Sexe']",False,
3,"['Efternavn', 'Fornavn(e)', 'Titel']",False,
1,['Geboortedatum'],True,Mag niet voor 1900 of na de huidige datum zijn.
1,['Document number'],False,
5,"['Número de documento', 'Tipo de documento', 'Nombre', 'Apellidos', 'Fecha de nacimiento']",False,
3,"['Città', 'CAP', 'Partita IVA']",False,
7,"['Número fiscal / número de seguridad social', 'Nombre', 'Apellidos', 'Cuidad', 'Código postal', 'Calle y número', 'País']",False,
2,"['Date of birth', 'Gender']",False,
5,"['Nome', 'Cognome', 'Data di nascita', 'Numero documento', 'Tipo di documento']",False,
5,"['Nome', 'Cognome', 'Data di nascita', 'Genere', 'Titolo']",False,
1,['Tipo de documento'],False,
2,"['Geschlecht', 'Anrede']",False,
4,"['Achternaam', 'Documentnummer', 'Documenttype', 'Voorna(a)m(en']",False,
2,"['First name(s)', 'Date of birth']",True,Please enter a valid date of birth.
2,"['Last name', 'Date of birth']",True,Your date of birth is not valid for the selected passenger type.
2,"['Sobrenome', 'Título']",False,
2,"['Tipo de documento', 'Número de documento']",False,
1,['Cognome'],False,
3,"['Fecha de nacimiento', 'Número de documento', 'Tipo de documento']",False,
3,"['Cognome', 'Data di nascita', 'Genere']",False,
4,"['Número de documento', 'Nombre', 'Apellidos', 'Tipo de documento']",False,
4,"['Nachname', 'Dokumentnummer', 'Art des Dokuments', 'Vorname(n)']",False,
3,"['First name(s)', 'Last name', 'Title']",False,
5,"['Cognome', 'Città', 'CAP', 'Via e numero civico', 'Paese']",False,
1,['Efternavn'],False,
3,"['First name(s)', 'Last name', 'Date of birth']",True,Please enter a valid date of birth.
2,"['Fornavn', 'Etternavn']",False,
5,"['Nachname', 'Geburtsdatum', 'Geschlecht', 'Vorname(n)', 'Anrede']",False,
2,"['Fecha de nacimiento', 'Tipo de documento']",False,
1,['Nome'],False,
4,"['First name(s)', 'Last name', 'Document number', 'Document type']",False,
4,"['Sobrenome', 'Número do documento', 'Tipo de documento', 'Nome']",False,
1,['Cognome'],False,
3,"['Fornavn(e)', 'Efternavn', 'Fødselsdato']",True,Angiv en gyldig fødselsdato.
1,['CAP'],False,
2,"['Date de naissance', 'Civilité']",False,
4,"['Numéro de document', 'Prénom', 'Nom', 'Type de document']",False,
2,"['Nome', 'Sobrenome']",False,
1,['Número de documento'],False,
5,"['Fecha de nacimiento', 'Número de documento', 'Tipo de documento', 'Nombre', 'Apellidos']",False,
3,"['First name(s)', 'Last name', 'Date of birth']",True,Your date of birth is not valid for the selected passenger type.
2,"['Fiscal number / Social security number', 'Postal code']",False,
2,"['Date of birth', 'First name(s)']",False,
7,"['Fiscal number / Social security number', 'First name', 'Last name', 'City', 'Postal / ZIP code', 'Street and number', 'Country']",False,
3,"['City', 'Postal code', 'Vat number']",False,
3,"['Sobrenome', 'Número do documento', 'Tipo de documento']",False,
3,"['Vorname(n)', 'Nachname', 'Anrede']",False,
1,['Tittel'],False,
4,"['Nachname', 'Geburtsdatum', 'Geschlecht', 'Anrede']",False,
3,"['Achternaam', 'Documentnummer', 'Documenttype']",False,
4,"['Förnamn', 'Efternamn', 'Födelsedatum', 'Titel']",False,
2,"['Date of birth', 'Last name']",False,
2,"['Efternavn', 'Titel']",False,
3,"['Nom', 'Date de naissance', 'Prénom']",False,
3,"['Geburtsdatum', 'Geschlecht', 'Anrede']",False,
1,['Nombre'],False,
5,"['Codice fiscale / Numero di previdenza sociale', 'Città', 'CAP', 'Via e numero civico', 'Paese']",False,
1,['Fødselsdato'],True,Din fødselsdato er ikke gyldig for den valgte passagertype.
5,"['Date of birth', 'Document number', 'Document type', 'First name(s)', 'Last name']",False,
4,"['Förnamn', 'Efternamn', 'Dokumentnummer', 'Dokumenttyp']",False,
1,['Efternamn'],False,
3,"['Nom', 'Prénom', 'Date de naissance']",True,Une date de naissance valide doit être renseignée.
3,"['Città', 'CAP', 'Paese']",False,
3,"['City', 'Postal code', 'Company name']",False,
5,"['Voorna(a)m(en', 'Achternaam', 'Geboortedatum', 'Documentnummer', 'Documenttype']",False,
1,['Födelsedatum'],False,
3,"['Nom', 'Date de naissance', 'Prénom']",False,
3,"['Sobrenome', 'Nome', 'Título']",False,
3,"['Last name', 'First name(s)', 'Date of birth']",True,Please enter a valid date of birth.
5,"['Geschlecht', 'Vorname(n)', 'Nachname', 'Geburtsdatum', 'Anrede']",False,
2,"['Date of birth', 'Document number']",False,
1,['Sexe'],False,
1,['VAT number'],False,
2,"['Nombre', 'Fecha de nacimiento']",False,
3,"['Nome', 'Cognome', 'Data di nascita']",False,
4,"['Città', 'CAP', 'Via e numero civico', 'Paese']",False,
4,"['Geburtsdatum', 'Geschlecht', 'Vorname(n)', 'Nachname']",False,
2,"['Date de naissance', 'Nom']",False,
5,"['Document number', 'Document type', 'First name(s)', 'Last name', 'Date of birth']",True,Please enter a valid date of birth.
4,"['Nom', 'Date de naissance', 'Sexe', 'Prénom']",False,
4,"['Fornavn(e)', 'Efternavn', 'Fødselsdato', 'Titel']",False,
2,"['Codice fiscale / Numero di previdenza sociale', 'Via e numero civico']",False,
2,"['Nom de l’entreprise', 'Numéro de TVA']",False,
3,"['Postal code', 'Company name', 'Vat number']",False,
2,"['Achternaam', 'Voorna(a)m(en']",False,
3,"['Ville', 'Code postal', 'Nom de l’entreprise']",False,
4,"['Geschlecht', 'Vorname(n)', 'Nachname', 'Geburtsdatum']",True,Bitte geben Sie ein gültiges Geburtsdatum ein.
1,['Numéro de document'],False,
5,"['Prénom', 'Nom', 'Date de naissance', 'Sexe', 'Civilité']",False,
1,['Nachname'],False,
3,"['Fornavn', 'Etternavn', 'Fødselsdato']",True,Angi en gyldig fødselsdato.
3,"['Cognome', 'Numero documento', 'Tipo di documento']",False,
3,"['Efternamn', 'Förnamn', 'Titel']",False,
7,"['Número fiscal/Número do CPF', 'Nome', 'Sobrenome', 'Cidade', 'CEP', 'Rua e número', 'País']",False,
3,"['Last name', 'Date of birth', 'First name(s)']",False,
2,"['Apellidos', 'Número de documento']",False,
2,"['Codice fiscale / Numero di previdenza sociale', 'Cognome']",False,
4,"['Nombre', 'Apellidos', 'Fecha de nacimiento', 'Género']",False,
2,"['Dokumentnummer', 'Art des Dokuments']",False,
1,['Número a efectos de IVA'],False,
5,"['Cognome', 'Data di nascita', 'Genere', 'Nome', 'Titolo']",False,
4,"['Nombre', 'Apellidos', 'Fecha de nacimiento', 'Número de documento']",False,
3,"['Fornavn', 'Etternavn', 'Tittel']",False,
3,"['Data de nascimento', 'Número do documento', 'Tipo de documento']",False,
3,"['Número de documento', 'Tipo de documento', 'Fecha de nacimiento']",False,
2,"['First name(s)', 'Date of birth']",True,Your date of birth is not valid for the selected passenger type.
4,"['Apellidos', 'Fecha de nacimiento', 'Nombre', 'Título']",False,
2,"['Prénom', 'Date de naissance']",True,La date de naissance n'est pas valide pour le type de passager sélectionné.
2,"['Document number', 'Date of birth']",True,Please enter a valid date of birth.
3,"['Nombre', 'Número de documento', 'Tipo de documento']",False,
5,"['Fornavn(e)', 'Efternavn', 'Fødselsdato', 'Køn', 'Titel']",False,
4,"['Cidade', 'CEP', 'Nome da empresa', 'Número de IVA']",False,
3,"['First name(s)', 'Last name', 'Document number']",False,
2,"['Vorname(n)', 'Geburtsdatum']",True,Bitte geben Sie ein gültiges Geburtsdatum ein.
4,"['Geburtsdatum', 'Vorname(n)', 'Nachname', 'Anrede']",False,
6,"['First name', 'Surname', 'City', 'Postal code', 'Street and number', 'Country']",False,
4,"['Nachname', 'Geburtsdatum', 'Dokumentnummer', 'Art des Dokuments']",False,
2,"['Document type', 'Document number']",False,
6,"['Prénom', 'Nom de famille', 'Ville', 'Code postal', 'Rue et numéro', 'Pays']",False,
1,['Apellidos'],False,
4,"['Numéro fiscal / numéro de sécurité sociale', 'Ville', 'Code postal', 'Rue et numéro']",False,
5,"['Document number', 'First name(s)', 'Last name', 'Date of birth', 'Document type']",False,
4,"['Cognome', 'Data di nascita', 'Genere', 'Titolo']",False,
2,"['Cidade', 'CEP']",False,
3,"['Ville', 'Code postal', 'Numéro de TVA']",False,
1,['Btw-nummer'],False,
2,"['Data di nascita', 'Titolo']",False,
4,"['Sobrenome', 'Data de nascimento', 'Número do documento', 'Tipo de documento']",False,
1,['Nome dell’azienda'],False,
3,"['Stadt', 'Postleitzahl (PLZ)', 'Firmenname']",False,
3,"['Vorname(n)', 'Nachname', 'Geburtsdatum']",True,Bitte geben Sie ein gültiges Geburtsdatum ein.
4,"['Document number', 'Document type', 'Last name', 'First name(s)']",False,
4,"['Last name', 'Date of birth', 'Gender', 'Title']",False,
4,"['Efternavn', 'Fødselsdato', 'Fornavn(e)', 'Titel']",False,
3,"['Numéro fiscal / numéro de sécurité sociale', 'Prénom', 'Nom de famille']",False,
2,"['Date of birth', 'Document number']",False,
1,['Fødselsdato'],True,Fødselsdatoen din er ikke gyldig for den valgte passasjertypen.
2,"['Date of birth', 'Document type']",False,
2,"['Nome', 'Cognome']",False,
4,"['Voorna(a)m(en', 'Achternaam', 'Geboortedatum', 'Geslacht']",False,
1,['Género'],False,
5,"['Nom', 'Date de naissance', 'Sexe', 'Prénom', 'Civilité']",False,
3,"['Vorname(n)', 'Nachname', 'Geburtsdatum']",True,Ihr Geburtsdatum ist für die ausgewählte Altersgruppe nicht gültig.
2,"['Efternamn', 'Födelsedatum']",False,
3,"['Document number', 'Document type', 'Date of birth']",True,Please enter a valid date of birth.
2,"['Data di nascita', 'Genere']",False,
3,"['Last name', 'First name(s)', 'Date of birth']",True,Your date of birth is not valid for the selected passenger type.
1,['Fiscaal nummer / sofinummer'],False,
6,"['Codice fiscale / Numero di previdenza sociale', 'Nome', 'Cognome', 'Città', 'CAP', 'Via e numero civico']",False,
2,"['Date of birth', 'First name(s)']",False,
3,"['First name(s)', 'Date of birth', 'Last name']",False,
3,"['Cidade', 'CEP', 'Rua e número']",False,
1,['Dokumentnummer'],False,
5,"['Número de documento', 'Nombre', 'Apellidos', 'Fecha de nacimiento', 'Tipo de documento']",False,
2,"['Efternavn', 'Fornavn(e)']",False,
1,['Via e numero civico'],False,
3,"['Prénom', 'Nom', 'Date de naissance']",True,La date de naissance n'est pas valide pour le type de passager sélectionné.
1,['CEP'],False,
2,"['CAP', 'Provincia']",False,
2,"['Número de documento', 'Fecha de nacimiento']",False,
2,"['Nome', 'Data di nascita']",False,
2,"['Type de document', 'Numéro de document']",False,
2,"['Efternamn', 'Titel']",False,
2,"['Date of birth', 'Document type']",False,
3,"['Document number', 'Document type', 'Last name']",False,
3,"['Data de nascimento', 'Nome', 'Sobrenome']",False,
6,"['First name', 'Last name', 'City', 'Postal / ZIP code', 'Street and number', 'Country']",False,
6,"['Steuernummer / Sozialversicherungsnummer', 'Nachname', 'Stadt', 'Postleitzahl (PLZ)', 'Straße und Hausnummer', 'Land']",False,
3,"['Fecha de nacimiento', 'Nombre', 'Apellidos']",False,
2,"['Numéro fiscal / numéro de sécurité sociale', 'Rue et numéro']",False,
2,"['Fecha de nacimiento', 'Número de documento']",False,
1,['Prénom'],False,
4,"['Date of birth', 'First name(s)', 'Last name', 'Title']",False,
6,"['Numéro fiscal / numéro de sécurité sociale', 'Nom de famille', 'Ville', 'Code postal', 'Rue et numéro', 'Pays']",False,
2,"['Last name', 'Gender']",False,
4,"['Numero documento', 'Tipo di documento', 'Cognome', 'Nome']",False,
4,"['Dokumentnummer', 'Art des Dokuments', 'Vorname(n)', 'Nachname']",False,
3,"['Geboortedatum', 'Voorna(a)m(en', 'Achternaam']",False,
1,['Region'],False,
4,"['Cognome', 'Data di nascita', 'Genere', 'Nome']",False,
2,"['Numéro fiscal / numéro de sécurité sociale', 'Pays']",False,
3,"['Nom', 'Prénom', 'Date de naissance']",True,La date de naissance n'est pas valide pour le type de passager sélectionné.
2,"['Date de naissance', 'Numéro de document']",False,
3,"['First name(s)', 'Last name', 'Date of birth']",True,Cannot be before 1900 or after current date.
2,"['Nom', 'Date de naissance']",True,Une date de naissance valide doit être renseignée.
3,"['Nombre', 'Apellidos', 'Tipo de documento']",False,
3,"['Fiscal number / Social security number', 'First name', 'Surname']",False,
3,"['Date de naissance', 'Numéro de document', 'Type de document']",False,
2,"['Prénom', 'Date de naissance']",True,Ne peut être antérieur à 1900 ou postérieur à la date actuelle.
5,"['Last name', 'Date of birth', 'Gender', 'First name(s)', 'Title']",False,
5,"['Sobrenome', 'Data de nascimento', 'Número do documento', 'Tipo de documento', 'Nome']",False,
3,"['First name(s)', 'Last name', 'Date of birth']",True,Cannot be before 1900 or after current date.
1,['Dokumentnummer'],False,
6,"['Fiscal number / Social security number', 'Surname', 'City', 'Postal code', 'Street and number', 'Country']",False,
4,"['Voorna(a)m(en', 'Achternaam', 'Geboortedatum', 'Titel']",False,
